,stage,B365H,B365D,B365A,year,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,home_outcome,starplayer_Away,starplayer_Home,starplayer_No
1919,27,1.4,4.33,9.0,2009,6,4,13,10,6,14,0,0,0,0,37,21,11,6,55.0,45.0,1,0,0,1
1920,27,2.87,3.3,2.5,2009,4,8,6,5,18,11,3,2,0,0,17,14,4,1,54.0,46.0,1,0,0,1
1921,27,2.5,3.25,2.87,2009,10,5,2,7,16,18,2,2,0,0,20,20,4,7,50.0,50.0,0,1,0,0
1922,27,1.4,4.0,10.0,2009,5,0,6,7,7,11,1,1,0,0,29,17,6,6,61.0,39.0,1,0,0,1
1923,27,1.5,4.0,7.5,2009,6,10,4,11,9,18,1,1,0,0,22,21,3,6,55.0,45.0,0,0,0,1
1924,27,5.5,3.5,1.72,2009,3,9,2,13,4,7,2,0,0,0,11,21,2,9,56.0,44.0,0,1,0,0
1925,27,2.0,3.3,4.0,2009,5,12,3,10,14,10,2,3,0,0,14,25,1,10,52.0,48.0,0,0,0,1
1926,27,2.87,3.25,2.5,2009,4,5,5,4,13,22,2,3,1,0,20,15,6,4,49.0,51.0,1,0,0,1
1927,27,1.28,5.0,13.0,2009,12,6,4,6,14,15,3,2,0,0,33,19,12,8,57.0,43.0,0,0,1,0
1928,28,1.83,3.5,4.5,2009,4,4,6,10,7,6,0,1,0,0,13,15,4,8,53.0,47.0,0,0,0,1
1929,28,6.5,3.75,1.57,2009,6,4,5,9,20,15,4,0,0,0,16,17,3,4,40.0,60.0,1,0,0,1
1930,28,6.5,3.75,1.57,2009,6,10,6,10,7,16,0,0,0,0,13,22,6,5,50.0,50.0,1,1,0,0
1931,28,2.5,3.25,2.9,2009,3,9,6,9,17,15,2,1,0,0,36,30,6,7,54.0,46.0,0,0,0,1
1932,28,2.2,3.3,3.4,2009,8,2,11,4,9,10,2,5,1,0,27,1,8,1,56.0,44.0,1,0,0,1
